,analysis_sample_rate,danceability,duration
0,22050,0.0,247.24853
1,22050,0.0,281.70404
2,22050,0.0,165.40689
3,22050,0.0,184.52853
4,22050,0.0,236.2771
5,22050,0.0,166.05995
6,22050,0.0,216.29342
7,22050,0.0,771.89179
8,22050,0.0,171.67628
9,22050,0.0,237.92281
10,22050,0.0,283.27138
11,22050,0.0,162.79465
12,22050,0.0,359.52281
13,22050,0.0,828.05506
14,22050,0.0,323.57832
15,22050,0.0,150.17751
16,22050,0.0,156.02893
17,22050,0.0,309.18485
18,22050,0.0,224.65261
19,22050,0.0,239.15057
20,22050,0.0,203.15383
21,22050,0.0,131.44771
22,22050,0.0,140.56444
23,22050,0.0,179.51302
24,22050,0.0,207.20281
25,22050,0.0,569.20771
26,22050,0.0,121.02485
27,22050,0.0,193.38404
28,22050,0.0,206.99383
29,22050,0.0,135.52281
30,22050,0.0,316.55138
31,22050,0.0,221.09995
32,22050,0.0,266.52689
33,22050,0.0,375.48363
34,22050,0.0,179.01669
35,22050,0.0,218.48771
36,22050,0.0,90.8273
37,22050,0.0,153.73016
38,22050,0.0,157.07383
39,22050,0.0,48.29995
40,22050,0.0,299.72853
41,22050,0.0,153.67791
42,22050,0.0,974.99383
43,22050,0.0,422.55628
44,22050,0.0,558.44526
45,22050,0.0,108.14649
46,22050,0.0,181.62893
47,22050,0.0,368.22159
48,22050,0.0,212.00934
49,22050,0.0,213.55057
50,22050,0.0,304.22159
51,22050,0.0,192.44363
52,22050,0.0,178.38975
53,22050,0.0,275.48689
54,22050,0.0,311.11791
55,22050,0.0,135.23546
56,22050,0.0,81.6322
57,22050,0.0,133.98159
58,22050,0.0,226.2722
59,22050,0.0,270.00118
60,22050,0.0,434.49424
61,22050,0.0,255.89506
62,22050,0.0,397.00853
63,22050,0.0,251.11465
64,22050,0.0,71.1571
65,22050,0.0,293.72036
66,22050,0.0,312.99873
67,22050,0.0,286.77179
68,22050,0.0,193.95873
69,22050,0.0,170.29179
70,22050,0.0,183.95383
71,22050,0.0,260.64934
72,22050,0.0,229.51138
73,22050,0.0,282.04363
74,22050,0.0,109.81832
75,22050,0.0,183.74485
76,22050,0.0,174.15791
77,22050,0.0,195.60444
78,22050,0.0,188.3424
79,22050,0.0,403.25179
80,22050,0.0,101.58975
81,22050,0.0,351.50322
82,22050,0.0,33.67138
83,22050,0.0,312.05832
84,22050,0.0,156.96934
85,22050,0.0,190.27546
86,22050,0.0,164.98893
87,22050,0.0,167.02649
88,22050,0.0,150.7522
89,22050,0.0,529.03138
90,22050,0.0,205.24363
91,22050,0.0,220.83873
92,22050,0.0,319.84281
93,22050,0.0,238.91546
94,22050,0.0,432.14322
95,22050,0.0,185.10322
96,22050,0.0,161.01832
97,22050,0.0,276.13995
98,22050,0.0,202.1873
99,22050,0.0,187.76771
100,22050,0.0,251.79383
101,22050,0.0,232.82893
102,22050,0.0,231.94077
103,22050,0.0,245.73342
